Sample,Group,Feed,logFeed,Day,Ct,logCopies,Copies
5_10_7,HIGH,1.24E+09,9.09,5,40.43086702,1.166867211,14.68477211
5_11_5,HIGH,1.24E+09,9.09,5,35.44087295,2.604484502,402.239302
5_12_3,HIGH,1.24E+09,9.09,5,37.27609802,2.075756161,119.0573362
5_10_6,HIGH,1.24E+09,9.09,5,38.19824963,1.810084281,64.57795399
5_11_4,HIGH,1.24E+09,9.09,5,37.82726954,1.916963644,82.59688032
5_12_2,HIGH,1.24E+09,9.09,5,36.08640071,2.418507955,262.1247055
5_12_10,HIGH,1.24E+09,9.09,5,41.17230055,0.953260212,8.979666591
5_10_5,HIGH,1.24E+09,9.09,5,39.10048502,1.550150266,35.49361762
5_12_1,HIGH,1.24E+09,9.09,5,39.02900884,1.570742552,37.21710197
5_12_9,HIGH,1.24E+09,9.09,5,40.64122609,1.106262764,12.77211335
5_10_4,HIGH,1.24E+09,9.09,5,38.23805294,1.798616948,62.89511973
5_11_2,HIGH,1.24E+09,9.09,5,36.93115004,2.175135673,149.6703152
5_12_8,HIGH,1.24E+09,9.09,5,36.62826891,2.262395727,182.9766732
5_11_1,HIGH,1.24E+09,9.09,5,40.40243203,1.175059331,14.96440077
5_11_9,HIGH,1.24E+09,9.09,5,37.60551938,1.980849866,95.68632296
5_11_8,HIGH,1.24E+09,9.09,5,38.68168224,1.670807348,46.86054638
5_12_6,HIGH,1.24E+09,9.09,5,37.6300031,1.973796106,94.14474991
5_11_7,HIGH,1.24E+09,9.09,5,37.61971616,1.976759775,94.78940015
5_12_5,HIGH,1.24E+09,9.09,5,37.41284662,2.03635889,108.7323788
D7_F7_10,MED,5.94E+07,7.77,7,37.93651283,1.885490654,76.82289238
D7_F7_6,MED,5.94E+07,7.77,7,36.01164905,2.440043908,275.4507174
D7_F7_7,MED,5.94E+07,7.77,7,35.94616178,2.458910792,287.6807433
D7_F7_9,MED,5.94E+07,7.77,7,37.29654767,2.069864616,117.4531356
D7_F8_3,MED,5.94E+07,7.77,7,36.74439835,2.228938834,169.4099187
D7_F8_4,MED,5.94E+07,7.77,7,39.84021642,1.337033649,21.72869526
D7_F8_5,MED,5.94E+07,7.77,7,39.66052943,1.388801472,24.47943965
D7_F9_1,MED,5.94E+07,7.77,7,37.02897224,2.146953099,140.2662217
D7_F9_2,MED,5.94E+07,7.77,7,39.92130973,1.313670666,20.59067891
D7_F9_3,MED,5.94E+07,7.77,7,39.48112123,1.440488973,27.57331441
D7_F9_4,MED,5.94E+07,7.77,7,36.62933029,2.262089942,182.8478854
D7_F9_6,MED,5.94E+07,7.77,7,36.33192095,2.347773573,222.7273619
D7_F9_9,MED,5.94E+07,7.77,7,34.40468111,2.903011374,799.855202
D7_F10_3,HIGH,1.24E+09,9.09,7,38.04604558,1.853934269,71.43881942
D7_F10_6,HIGH,1.24E+09,9.09,7,38.56441807,1.704591154,50.65136499
D7_F10_8,HIGH,1.24E+09,9.09,7,37.82091782,1.918793575,82.94564236
D7_F10_9,HIGH,1.24E+09,9.09,7,37.83451036,1.914877566,82.20108805
D7_F11_6,HIGH,1.24E+09,9.09,7,36.04433441,2.430627255,269.5425019
D7_F11_7,HIGH,1.24E+09,9.09,7,36.19697971,2.386650145,243.5847782
D7_F11_8,HIGH,1.24E+09,9.09,7,36.27171248,2.365119634,231.8033107
D7_F12_1,HIGH,1.24E+09,9.09,7,38.9164743,1.603163754,40.10178959
D7_F12_5,HIGH,1.24E+09,9.09,7,34.42151739,2.898160841,790.97151
D7_F12_7,HIGH,1.24E+09,9.09,7,36.10286234,2.41376536,259.2778159
D7_F12_9,HIGH,1.24E+09,9.09,7,35.66607911,2.539602609,346.4197222
9_7_3,MED,5.94E+07,7.77,9,41.34796875,0.902650202,7.991902971
9_7_5,MED,5.94E+07,7.77,9,40.29945873,1.204725939,16.02233982
9_8_1,MED,5.94E+07,7.77,9,37.23800364,2.086731151,122.1043541
9_8_2,MED,5.94E+07,7.77,9,38.59105109,1.696918182,49.76433234
9_8_4,MED,5.94E+07,7.77,9,36.56907191,2.279450383,190.3050806
9_8_5,MED,5.94E+07,7.77,9,37.64455435,1.969603891,93.24034913
9_8_6,MED,5.94E+07,7.77,9,36.032546,2.434023496,271.6586239
9_8_7,MED,5.94E+07,7.77,9,39.96174635,1.302020876,20.04568381
9_8_8,MED,5.94E+07,7.77,9,38.0787637,1.844508178,69.90498999
9_8_9,MED,5.94E+07,7.77,9,36.12875163,2.406306656,254.8629207
9_9_1,MED,5.94E+07,7.77,9,37.66499919,1.963713735,91.98430573
9_9_10,MED,5.94E+07,7.77,9,37.36039825,2.051469265,112.5820793
9_9_2,MED,5.94E+07,7.77,9,37.56212931,1.993350545,98.48056798
9_9_6,MED,5.94E+07,7.77,9,42.19100913,0.65977027,4.568464662
9_9_7,MED,5.94E+07,7.77,9,37.38124998,2.04546188,111.0355071
9_9_8,MED,5.94E+07,7.77,9,39.07725488,1.55684287,36.04482071
9_11_10,HIGH,1.24E+09,9.09,9,34.79093576,2.791731408,619.0580967
9_11_6,HIGH,1.24E+09,9.09,9,39.51259914,1.431420188,27.00350807
9_11_7,HIGH,1.24E+09,9.09,9,42.21246046,0.653590141,4.503914541
9_12_5,HIGH,1.24E+09,9.09,9,36.48703046,2.303086525,200.9493125
9_12_6,HIGH,1.24E+09,9.09,9,36.35828153,2.340179092,218.8663989
9_12_7,HIGH,1.24E+09,9.09,9,36.16265795,2.396538243,249.1943799
9_12_8,HIGH,1.24E+09,9.09,9,39.97760625,1.297451639,19.83588759
9_12_9,HIGH,1.24E+09,9.09,9,42.49601356,0.571898493,3.73162929
D11_F7_10,MED,5.94E+07,7.77,11,33.2906832,3.22395417,1674.766133
D11_F7_4,MED,5.94E+07,7.77,11,34.38484826,2.908725215,810.448113
D11_F7_7,MED,5.94E+07,7.77,11,34.63224443,2.83745038,687.7813256
D11_F8_2,MED,5.94E+07,7.77,11,34.3971849,2.905171031,803.8426247
D11_F8_3,MED,5.94E+07,7.77,11,36.70610682,2.239970625,173.768329
D11_F8_4,MED,5.94E+07,7.77,11,36.25559932,2.369761837,234.2943615
D11_F8_5,MED,5.94E+07,7.77,11,34.03061586,3.010779571,1025.131482
D11_F9_10,MED,5.94E+07,7.77,11,35.90840693,2.469787963,294.9768701
D11_F9_11,MED,5.94E+07,7.77,11,36.72337559,2.234995493,171.789056
D11_F9_2,MED,5.94E+07,7.77,11,35.69471035,2.531353947,339.9021776
D11_F9_3,MED,5.94E+07,7.77,11,35.98861518,2.446679967,279.6919503
D11_F9_4,MED,5.94E+07,7.77,11,35.23211893,2.664626537,461.9835767
D11_F9_6,MED,5.94E+07,7.77,11,35.94334133,2.459723364,288.2195022
D11_F9_7,MED,5.94E+07,7.77,11,35.90361254,2.471169226,295.9165303
D11_F9_8,MED,5.94E+07,7.77,11,36.38244622,2.333217243,215.385887
D11_F9_9,MED,5.94E+07,7.77,11,35.53506071,2.57734901,377.8757397
D11_F10_10,HIGH,1.24E+09,9.09,11,36.90846516,2.181671189,151.9396734
D11_F10_2,HIGH,1.24E+09,9.09,11,36.64893765,2.256441062,180.4849785
D11_F10_8,HIGH,1.24E+09,9.09,11,38.22619663,1.802032752,63.39175162
D11_F11_1,HIGH,1.24E+09,9.09,11,35.18858591,2.6771684,475.5195751
D11_F11_3,HIGH,1.24E+09,9.09,11,36.52396759,2.292444937,196.0852549
D11_F11_4,HIGH,1.24E+09,9.09,11,35.66430286,2.540114347,346.8281559
D11_F11_7,HIGH,1.24E+09,9.09,11,36.299367,2.357152366,227.5895756
D11_F11_8,HIGH,1.24E+09,9.09,11,35.95632614,2.455982439,285.7474998
D11_F11_9,HIGH,1.24E+09,9.09,11,36.40521299,2.326658138,212.1573774
D11_F12_10,HIGH,1.24E+09,9.09,11,37.9752913,1.874318577,74.87185217
D11_F12_3,HIGH,1.24E+09,9.09,11,33.5670891,3.144321631,1394.188933
D11_F12_4,HIGH,1.24E+09,9.09,11,34.05423839,3.003973921,1009.192283
